	P1.1	P1.2	P1.3	P1.4	P2.1	P2.2	P2.3	P2.4	P2.5	P2.6	P2.7	P3.1	P3.2	P3.3	P3.4	P4.1	P4.2	P4.3	P4.4	P4.5	P6.1	P6.2	P6.3	P6.4	P6.5	P7.1.1	P7.1.2	P7.1.3	P7.1.4
(Iso)Citrate	-0.50629	-0.31177	-0.43949	3.2751	-0.35323	3.9619	-0.099841	-0.42896	-0.39934	-0.39634	-0.47419	-0.35678	4.9988	-0.14788	-0.44396	-0.42896	-0.33747	0.24485	-0.41187	-0.39634	-0.51457	0.93228	0.71659	-0.46684	-0.28718	-0.52057	-0.42896	-0.099841	-0.38065
N-Nitrosothialdine	-1.0341	-0.89622	-0.93005	1.0585	-0.58644	0.76528	1.0585	-0.69079	-0.88312	-0.8021	-0.9701	-0.85076	0.8068	1.7865	-0.011982	-0.93203	1.2848	-0.45516	-0.049783	0.044231	-0.97635	0.56054	1.0981	-0.50722	0.082395	-1.0477	-0.86715	1.8181	-0.23607
1-Acetyl-2-methylcyclopentene	-0.53259	-0.49458	-0.5293	-0.094377	-0.33243	0.062735	1.3173	-0.46235	-0.47132	-0.49357	-0.51711	-0.46342	-0.1828	1.1039	-0.12203	-0.52656	2.2618	-0.31894	-0.14089	-0.055866	-0.53032	-0.051914	0.81238	-0.43495	-0.038088	-0.54108	-0.51371	1.6117	-0.14165
4-Aminohippuric_acid	-0.82602	-0.7095	-0.81891	0.17865	-0.3206	0.26049	2.1004	-0.49028	-0.70349	-0.56563	-0.75075	-0.60284	-0.3842	1.8077	0.16697	-0.69413	1.9781	-0.34187	0.18165	0.24588	-0.74028	0.17289	1.2427	-0.45183	0.29629	-0.73634	-0.6338	1.953	0.14272
4-Hydroxypropofol	-1.1018	2.9388	-1.0424	-0.030101	-0.43277	-0.4744	0.69097	0.2227	-0.70003	0.12066	-0.99007	-0.044147	0.97145	0.45639	-0.51536	-0.6933	0.99576	0.33096	-0.51487	-0.96325	3.049	-0.47671	0.36136	-0.92178	-0.17332	0.40378	0.50199	0.7254	-0.51413
Lycoperdic_acid	-0.86536	-0.49187	-0.93638	0.72436	-0.16751	0.094301	0.93761	-0.19054	-0.39974	-0.23469	-0.9258	-0.49046	-0.37403	0.79007	-0.30682	-0.58514	0.52124	-0.35152	-0.27678	-0.19723	-0.7787	0.098036	0.75424	-0.56645	0.97393	-0.36583	-0.27985	0.89902	-0.29924
Ethyl_glucuronide	-0.087677	-0.69341	-1.0901	0.63733	0.7441	1.6474	1.399	-0.47245	1.3757	-0.5015	-1.0508	-0.55978	0.44407	1.3572	-0.52704	-0.83055	-0.3817	-0.41729	-0.50669	-0.49308	-0.76155	1.421	0.47136	-0.87812	0.27655	-0.78829	-0.62104	1.1974	-0.56924
2-Bromo-1H-indole-3-carboxaldehyde	-0.28316	-0.046851	-0.13753	-0.38622	0.14823	-0.09808	-0.42531	-0.55702	-0.1135	-0.55926	-0.32779	-0.43989	0.082548	-0.42657	-0.37624	-0.45209	-0.29536	-0.09227	-0.35472	-0.36194	-0.5299	-0.029125	-0.098671	-0.42063	-0.23226	-0.64131	-0.46107	-0.43799	-0.26441
"[6-(2H-chromen-2-ylidene)cyclohexa-2,4-dien-1-ylidene]oxidanium"	-0.27586	-0.4949	-1.5035	0.55993	0.69247	1.5678	1.0538	-0.47047	1.8238	-0.36308	-1.6206	-0.72856	0.39797	1.0339	-0.8749	-1.0788	-0.34659	-0.31796	-0.90652	-0.91429	-0.71342	1.3667	0.087539	-1.1724	0.23095	-0.14926	-0.5191	1.1528	-0.98081
Prolylhydroxyproline	-0.50058	-0.64276	-0.54963	-0.44932	0.084765	0.071849	0.65136	-0.39452	-0.49585	-0.41117	-0.42541	-0.62939	-0.15239	0.61963	-0.34413	-0.35042	0.55248	-0.54164	-0.39907	-0.32017	-0.69268	-0.063612	0.42698	0.12384	-0.58674	-0.66013	-0.50314	0.69532	-0.37002
Asparaginyl-Proline	-1.4245	-0.56987	0.47458	0.04382	-0.52566	0.70497	0.90192	0.65897	-0.61108	0.54956	-1.561	-0.13874	-0.15613	0.96039	0.026167	-1.1995	0.66366	-0.59855	0.054039	0.054039	-0.74193	-0.36649	-0.0045479	-0.24327	-0.10231	-0.40298	0.39615	0.99076	0.017043
1-Isopropyl_citrate	-0.98872	-0.75171	-0.95119	1.1573	0.66887	-0.27119	2.2385	-0.46665	-0.79378	-0.55879	-0.9436	0.20697	-0.51525	1.9247	-0.42779	-0.67401	0.57723	0.088732	-0.44336	-0.40107	-0.87695	-0.27119	1.2057	-0.43784	0.92522	-0.82411	-0.70931	1.9247	-0.46566
6-Succinoaminopurine	-0.92826	-0.18024	-0.97112	1.6707	0.81036	-0.27043	2.5848	-0.41945	-0.76587	-0.45259	-0.92535	-0.45653	-0.52275	2.0323	-0.66665	-0.68078	1.2878	0.58142	-0.65059	-0.39969	-0.67564	-0.14839	1.7998	-0.27687	1.7057	-0.59123	-0.47614	2.2113	-0.67672
Benzoylmalic_acid	-1.6952	-0.47204	-1.6844	-0.11389	-0.065856	-0.54523	0.90942	-0.16765	-0.73227	-0.074317	-1.4172	-0.4451	-0.50718	0.61098	-0.38114	-1.2091	-0.26117	0.3552	-0.35972	-0.36585	-0.78841	-0.082061	1.0343	-1.2432	0.026086	-0.51561	-0.13226	0.6486	-0.33268
Acetaminophen_cystein	-0.83924	-0.82264	-1.4764	0.76693	0.25874	0.39959	2.0936	0.81556	-0.89627	0.90063	-1.0636	0.7468	-0.11699	1.9743	-0.20959	-0.9867	-0.1409	-0.093286	-0.26151	-0.3077	-0.87523	-0.058203	1.0273	-0.83426	0.68819	-0.05461	0.67001	2.3274	1.0651
"1-(9H-Pyrido[3,4-b]indol-1-yl)-1,4-butanediol"	-0.08051	-0.79701	-0.90787	-0.60811	-0.33278	0.030405	0.19662	-0.083671	-0.77647	-0.042146	-0.55951	-0.61496	-0.18674	0.19965	-0.11519	-0.19803	0.31997	0.041108	-0.23033	-0.14194	-0.37106	-0.31186	0.7482	0.61066	-0.52494	-0.49134	-0.076622	0.089384	-0.20302
Lenalidomide	-1.4455	0.18569	-0.75324	-0.082239	0.047661	0.17118	0.8231	-0.074412	-0.81104	-0.046824	-1.2554	-0.39971	-0.19555	0.89101	-0.72517	0.084484	1.4803	-0.73137	-0.70936	-0.55697	-0.86297	-0.0034149	1.7927	0.046392	0.0042162	-0.48422	-0.2017	0.88037	-0.66116
3-Hydroxy-4-butanolide	-0.9622	-0.030011	-1.2553	1.1431	0.82982	0.17094	2.5652	0.83629	-0.44849	0.65913	-1.3631	0.45017	-0.40619	2.3848	-0.30306	-0.44563	0.52619	-0.20443	-0.23221	-0.23549	-0.7729	-0.11871	1.0413	-0.86792	1.1172	-0.32235	0.44604	2.6421	-0.33153
Isoniazid_alpha-ketoglutaric_acid	-0.77456	0.18499	-0.97252	3.6355	0.86323	0.16516	2.1292	-0.50666	-0.59304	-0.59772	-0.91611	-0.6376	-0.19224	1.896	0.16425	-0.68675	2.3746	-0.26633	0.15699	0.15402	-0.57928	0.12866	0.1707	-0.21822	4.2657	-0.76973	-0.62254	2.335	0.23373
3-(Cystein-S-yl)acetaminophen	-0.49904	-0.28733	5.0289	1.162	-0.18184	0.17661	-0.27631	-0.16916	-0.52925	-0.12577	-0.48438	-0.31234	-0.068957	-0.31418	-0.43204	-0.45752	-0.47885	-0.36627	-0.46279	-0.48072	-0.11261	-0.0027712	-0.5011	-0.48744	1.0776	-0.36784	-0.18617	-0.29002	-0.47988
[(7-hydroxy-1-oxo-1H-isochromen-3-yl)methoxy]sulfonic_acid	-0.86256	-0.78056	-0.62062	-0.22641	-0.1261	1.3238	0.4483	-0.76624	-0.78865	-0.84408	-0.83937	-0.81538	0.29039	-0.13879	-0.25017	-0.7932	0.42416	-0.072819	-0.35434	-0.20626	-0.7941	1.3497	1.6098	-0.74585	-0.68233	-0.88347	-0.83385	0.35128	-0.0079507
Fukiic_acid	-1.1498	0.46582	4.4232	0.45489	-0.24793	-0.17768	0.15669	-0.20295	0.54459	-0.18005	-0.34794	0.12383	0.16637	0.058956	-0.44848	-0.29686	-0.33884	0.11061	-0.46272	-0.399	-0.76461	-0.12462	0.19342	-0.82671	1.1782	-0.50743	-0.15929	0.051421	-0.41571
modafinil_acid	-0.76414	0.28597	-1.601	0.11676	-0.5689	-0.031919	1.1886	1.1681	-0.8265	1.2544	-1.5751	0.27335	-0.18878	1.2152	-0.36135	-1.4319	0.10836	0.44643	-0.36306	-0.35948	-0.80071	-0.13488	2.0045	-0.90023	0.68161	-0.66153	1.4594	1.3009	-0.29853
{[1-(4-methoxyphenyl)pentan-3-yl]oxy}sulfonic_acid	-0.56521	-0.21814	-1.0009	0.32708	-0.027058	-0.37042	0.83875	0.76397	0.052471	0.81931	-1.1146	0.12732	-0.36677	0.79445	-0.10353	-0.7076	-0.11004	-0.21261	-0.23512	-0.20283	-0.58099	-0.24603	0.52805	-0.49774	0.22806	-0.1023	0.7421	0.58849	-0.23783
"5-(4-Acetoxy-1-butynyl)-2,2''-bithiophene"	-0.66812	-0.66093	-0.6877	-0.50199	-0.23651	0.54395	1.4922	-0.64753	-0.65182	-0.66697	-0.68102	-0.53844	0.34174	1.3217	-0.41227	-0.65787	1.3717	0.16729	-0.44133	-0.43866	-0.70624	0.24443	1.1249	-0.51461	0.012169	-0.70802	-0.68033	1.6055	-0.33129
"3,4,5-trihydroxy-6-[(3-methylbut-2-enoyl)oxy]oxane-2-carboxylic_acid"	-0.66268	1.3508	-1.6731	0.35205	0.27616	0.64853	2.3007	2.0423	-1.0512	2.0172	-1.6994	-0.24304	0.30084	2.1219	-0.16912	-1.6376	0.31389	-0.013099	-0.26249	-0.29182	-0.52519	0.15488	0.62306	-1.1319	0.59483	-0.21483	2.0059	2.2558	-0.22143
Triethyl_citrate	-1.2778	-0.83983	-1.3043	1.2826	0.00253	-0.38566	2.3991	-0.023507	-1.1325	-0.11447	-1.1838	-0.30543	-0.53698	2.0986	-0.34689	-0.97552	1.29	0.086677	-0.32692	-0.21021	-0.97781	-0.48712	0.18064	-0.043909	1.842	-0.70459	-0.27751	2.1934	-0.35877
2-hydroxy-3-[4-hydroxy-3-(sulfooxy)phenyl]propanoic_acid	-0.69782	-0.46253	-0.03066	0.36489	2.5134	0.47789	-0.26803	-0.95002	-0.16462	-0.91737	-0.44711	-0.21694	1.6067	-0.27533	-0.39635	-0.49464	-0.20201	0.421	-0.39553	-0.36658	-0.82522	0.73458	1.2486	-0.71399	0.11453	-0.98224	-0.91579	-0.29207	-0.30764
Dehydroxymethylflazine	-0.37722	0.3909	-0.61292	0.095264	-0.086704	-0.18319	0.24584	0.54204	0.071893	0.50366	-0.5561	-0.071459	-0.14977	0.18987	-0.15061	-0.50306	-0.19346	-0.1844	-0.093128	-0.16399	-0.27562	-0.076778	0.16561	-0.37547	0.29081	-0.38905	0.52794	0.23206	-0.20539
1-Methoxyspirobrassinin	0.64916	-0.5831	-0.43956	2.714	0.079014	2.7825	-0.074994	-0.61034	1.8857	-0.6047	-0.73607	-0.4262	3.0627	-0.013307	-0.42439	-0.47404	-0.55545	-0.33995	-0.44219	-0.1984	-0.68207	3.7837	0.044222	-0.57345	1.6056	-0.63595	-0.62441	-0.044123	-0.40255
"6-(1-carboxy-1-methylethoxy)-3,4,5-trihydroxyoxane-2-carboxylic_acid"	-0.68832	0.32945	3.4549	0.79423	0.55925	-0.5158	1.2809	0.29307	0.94925	0.15947	-1.8812	-0.15323	-0.98081	0.97947	-0.78853	-1.0339	0.17386	-0.61529	-0.82126	-0.87148	-0.55327	-0.772	0.49942	-1.3246	1.3455	-0.46495	-0.0027395	0.7798	-0.82222
Phlorin	-0.92525	1.6231	-1.0554	-0.096091	0.37046	-0.16044	3.5588	0.97624	-0.87852	0.89042	-1.2633	-0.072994	0.29118	2.9153	-0.45957	-1.0221	-0.52209	-0.11582	-0.52323	-0.68902	0.57734	-0.25339	-0.5414	-0.61372	0.40502	-0.091275	1.0155	3.1058	-0.46353
Chlorosesamone	-0.29025	-0.28843	7.3694	0.89359	-0.2721	0.31112	-0.26934	-0.27551	-0.2484	-0.17774	-0.29425	-0.20192	-0.097583	-0.10052	-0.27241	-0.30268	-0.28664	-0.17496	-0.27282	-0.24456	-0.22182	0.15255	-0.21046	-0.30284	1.4892	-0.1808	-0.27635	-0.10668	-0.27116
Wasalexin_A	-0.60792	-0.26847	3.5572	0.46141	-0.26504	0.072703	-0.36601	-0.55335	0.83048	-0.42639	-0.39561	-0.31325	-0.097736	-0.16651	-0.45153	-0.44711	-0.50231	-0.29616	-0.5322	-0.032101	-0.78811	0.18394	0.0046778	-0.61418	0.20657	-0.0049562	-0.49853	-0.4215	-0.48797
{[(3E)-4-(1-oxo-1H-isochromen-3-yl)but-3-en-2-yl]oxy}sulfonic_acid	-1.3025	-0.94761	-1.4172	1.5645	0.31201	0.39269	1.5743	-0.3713	-1.0248	-0.56621	-1.2435	-0.90582	-0.54326	1.4579	-0.046555	-0.5132	0.36829	-0.13055	-0.20799	-0.094748	-1.3679	1.0403	1.7665	-0.43894	1.8743	-1.1521	-0.78027	1.5898	-0.11811
"6-(3-ethenylphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic_acid"	-1.1826	-0.88753	-1.433	0.13792	-0.37398	-0.41062	0.86203	1.3525	-1.0831	1.271	-1.3342	0.012271	-0.46631	0.69737	-0.13912	-1.2198	-0.23861	-0.26784	-0.23053	-0.41062	-0.97765	-0.49466	0.11279	-0.88373	0.38136	-0.1793	1.5812	0.90187	-0.13767
Dimethyl_fukiic_acid	-2.1496	-0.39756	-0.90415	0.69929	-0.39552	-0.42711	0.71684	0.62042	-1.1693	0.38549	-2.2148	0.045263	-0.54524	0.42459	0.36049	-1.3539	-0.10708	-0.00021361	0.32045	0.068238	-1.5111	-0.41109	1.4071	-1.1611	1.8258	-0.74777	0.9052	0.87257	0.30594
"5-(3'',4'',5''-Trihydroxyphenyl)-gamma-valerolactone-3''-O-sulphate"	-0.32351	-0.62971	-0.16944	0.12762	0.45198	0.39471	0.053479	-0.66613	-0.17272	-0.68295	-0.70987	-0.6154	-0.2279	0.051876	-0.20683	-0.36326	-0.23206	-0.20426	-0.25418	-0.087258	-0.77167	0.37732	0.49444	-0.57685	-0.1404	-0.76846	-0.67535	0.10871	-0.12762
{3-[(2E)-3-phenylprop-2-enoyl]phenyl}oxidanesulfonic_acid	-0.3171	0.4733	3.2706	0.63318	2.2262	-0.26238	0.3025	-0.80669	0.73902	-0.8418	-1.7288	-0.38397	-0.29771	0.075106	-0.34173	-1.0739	-0.55925	-0.40581	-0.45023	1.2435	-1.3814	-0.31917	0.58917	-1.0909	0.65851	-1.4661	-0.78272	0.30944	-0.49957
N-Acetylaspartylglutamic_acid	-1.8175	-0.81935	0.39526	1.0584	0.65654	-0.31694	1.1128	1.9515	-0.91791	2.2079	-0.95954	1.2916	-0.66092	1.2057	-0.50895	-0.6071	0.49815	-0.25629	-0.44336	-0.55116	-0.69534	-0.27729	0.63587	0.056948	1.0215	-0.21744	1.884	1.2434	-0.55247
Mono-trans-p-coumaroylmesotartaric_acid	-1.8152	-0.82539	-1.6396	0.38163	0.10582	-0.18157	1.6266	0.30036	-0.82055	0.30271	-2.2091	0.17237	-0.4266	1.3989	-0.1555	-1.2932	0.08932	0.73927	-0.3647	-0.14865	-1.4284	-0.12555	0.46492	-1.0159	1.0932	-0.39543	0.47761	1.3647	-0.22453
{[(3E)-4-(5-hydroxy-1-oxo-1H-isochromen-3-yl)but-3-en-2-yl]oxy}sulfonic_acid	-1.1373	-0.88847	-0.98045	0.18747	0.29164	0.20818	1.1934	-0.59561	-0.9598	-0.60404	-1.1841	-0.82216	-0.46417	1.044	-0.33582	-1.1194	0.53502	-0.29293	-0.29815	-0.34248	-1.0883	0.81139	2.0982	-0.811	0.21168	-0.91731	-0.81441	1.2455	-0.31869
Valaciclovir	-1.1024	1.2463	-0.8604	0.061792	1.5592	0.29367	3.8378	0.23631	-0.62474	0.15918	-1.0959	-0.22837	0.43637	2.4772	-0.82086	-0.73122	0.51157	-0.56983	-0.94506	-1.0653	0.21481	-0.062931	-0.93272	-0.7185	-0.46762	0.037331	0.28288	3.6002	-0.77775
Dihyroxy-1H-indole_glucuronide_I	-1.8692	0.63557	-1.7997	0.92102	0.55972	0.3656	1.6598	0.84623	-1.0529	0.77941	-2.227	-0.074651	-0.41867	1.7289	0.38501	-1.1695	0.47988	0.38653	1.0018	-0.8675	-1.04	-0.39496	-0.32919	-0.62984	0.73167	-0.44223	1.6978	1.9464	0.99476
trans-o-Coumaric_acid_2-glucoside	-1.3986	-0.60057	-1.5112	0.26018	0.02226	-0.14817	2.7634	1.5878	-1.1761	1.5335	-1.5185	0.491	-0.3659	1.804	-0.028675	-1.0744	-0.15244	-0.21315	-0.1206	-0.39812	-0.72454	-0.30248	0.10068	-0.94815	0.78759	-0.074954	1.86	2.045	0.019774
Humilixanthin	-0.87106	-0.50199	-0.54292	0.27151	0.52492	0.62616	3.9295	0.67765	-0.39497	0.56212	-1.0011	-0.14405	-0.12938	3.375	-0.4192	-0.37	0.021518	-0.5013	-0.47914	-0.507	-0.52925	0.51009	-0.18774	-0.66336	0.35644	-0.39497	0.35183	3.2158	-0.40908
Acetaminophen_glucuronide	-0.46303	1.0794	-0.4368	7.7416	-0.29402	1.3018	-0.2518	-0.27132	-0.41873	-0.25309	-0.4498	-0.3315	0.29897	-0.26615	-0.34367	-0.38834	-0.34303	-0.27416	-0.34228	-0.31685	-0.37626	0.37132	-0.30504	-0.37957	2.9676	-0.35306	-0.19427	-0.2613	-0.32956
Menadiol_disulfate	-0.96771	-0.31022	5.0437	2.6229	-0.13958	3.3501	-0.050688	-0.94793	-0.47506	-0.95499	0.41567	-0.46209	0.15617	0.21211	-0.2781	0.14018	-0.74235	0.45762	-0.30463	-0.08049	-0.67491	0.3708	0.70322	-0.55564	1.5953	-1.0393	-0.95007	-0.25542	-0.36764
Docosadienoate_(22:2n6)	-0.50004	0.39872	-0.95457	-0.47557	-0.46647	-0.62858	1.2166	-0.21604	-0.81745	-0.27415	-0.52417	0.15856	0.30819	1.1282	0.66172	-0.8953	2.9751	1.1467	1.1652	0.27703	-0.88439	-0.36173	-0.021707	2.9937	-0.37281	-1.0273	-0.26426	1.3727	1.2271
Maltitol	-0.20581	-0.17828	6.9442	0.038989	-0.044306	-0.11893	-0.16778	-0.14816	-0.19663	0.002271	-0.18911	-0.17308	-0.15648	-0.16325	-0.18441	-0.20106	-0.18901	-0.17661	-0.18616	-0.18343	-0.16813	-0.12798	-0.16325	-0.19498	-0.084715	-0.18074	-0.16718	-0.17405	-0.18708
2-hydroxy-3-[3-(4-hydroxy-3-methylbut-2-en-1-yl)-4-(sulfooxy)phenyl]propano...	-0.51882	-0.33636	-0.2549	-0.12433	-0.12793	-0.21465	0.3481	-0.12038	-0.20527	-0.065373	-0.37636	0.22258	-0.23708	0.28884	-0.26361	-0.34415	-0.21856	0.36154	-0.24614	-0.23544	-0.44379	-0.1628	-0.077865	-0.43024	-0.052257	-0.20721	-0.14679	0.31986	-0.18376
N1-(2-Hydroxyethyl)flurazepam	-0.58509	-0.33954	-0.23397	-0.19853	-0.333	0.014656	4.0284	-0.33186	-0.38983	-0.38689	-0.66644	-0.47474	-0.34669	3.7004	-0.35316	-0.013601	0.017923	-0.44515	-0.37509	-0.36058	-0.59211	0.000077416	-0.11435	-0.52136	0.000077416	-0.35127	-0.45694	3.8357	-0.37779
Idoxuridine	-1.1449	-1.0051	-0.40924	0.77277	-0.45974	-0.33347	-0.15898	-1.0634	-0.43213	-1.1657	-0.33553	-0.71983	-0.28393	0.0055736	-0.045533	-0.19715	0.45623	-0.56394	-0.048512	0.19934	-0.76294	0.15412	0.77819	-0.2502	-0.083959	-1.1927	-1.177	0.0050202	-0.15257
"[3-(3,5,7-trihydroxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl)phenyl]oxidanes..."	-0.53169	-1.0825	-0.05439	0.6483	-0.42412	-0.25221	0.60331	-0.88707	2.3795	-0.88679	-0.78901	-0.48891	-0.68963	0.54618	1.023	1.3845	0.11894	-0.066638	1.3558	1.708	-1.2011	0.24134	-0.23079	-0.43398	0.54143	-1.152	-1.0346	0.63751	1.3585
"{[3,4,5-trihydroxy-6-(2,4,6-trihydroxyphenyl)oxan-2-yl]methoxy}sulfonic_acid"	-0.85589	-0.79686	0.37116	4.639	0.37731	0.23666	1.9095	-0.7494	-0.29084	-0.72792	-1.1816	-0.65279	-0.65481	1.5773	0.55373	-0.33793	1.2601	-0.54385	0.37731	1.0296	-0.9692	0.27078	0.010333	-0.49874	2.2833	-0.93852	-0.81344	1.505	0.3021
3-O-Feruloylquinic_acid	-0.74279	-0.73847	-0.71157	1.7518	0.10266	-0.092717	2.6945	-0.43213	-0.69981	-0.59841	-0.70152	-0.73299	-0.52824	2.1459	0.088227	-0.72209	1.0475	-0.43441	0.10266	0.33727	-0.74155	-0.0076587	0.1194	-0.47492	2.1459	-0.74549	-0.68392	2.6945	0.088227
Octadecyl_fumarate	-0.69925	-0.26904	-0.78216	2.0133	-0.16989	-0.12062	2.3636	-0.54564	-0.8178	-0.72524	-0.7109	-0.71982	-0.3144	2.187	-0.14572	-0.73221	1.5891	-0.37355	0.030564	-0.15811	-0.6884	-0.2576	-0.071057	-0.56033	1.9067	-0.87303	-0.70777	2.3528	-0.024447
"(E)-26,27-Dinorergosta-4,22-dien-3-one"	-0.49101	-0.25909	-0.43194	0.6729	-0.14067	-0.14455	0.91902	-0.36922	-0.55234	-0.48855	-0.48648	-0.56431	-0.25138	0.76652	-0.17453	-0.55962	0.68122	-0.24393	-0.13327	-0.16413	-0.49183	-0.20569	-0.097515	-0.397	0.80289	-0.5567	-0.47044	0.92701	-0.14838
3-hydroxytridecanoyl_carnitine	-0.35404	0.70889	0.12301	-0.83397	0.1251	3.3388	-0.70612	0.77787	-0.76054	0.6752	-0.38908	0.34445	2.1932	-0.73378	-0.086594	-0.075704	-0.57108	0.93621	0.31694	-0.38603	6.2749	0.47783	-0.96973	0.39131	-0.57437	-0.24947	1.0034	-0.73858	-0.44137
1-O-Sinapoylglucose	-0.7657	-0.44655	7.1723	0.32838	0.042071	-0.282	0.76102	0.067273	-0.42671	0.10634	-0.71852	-0.28123	-0.47409	0.64125	-0.28274	-0.57532	-0.29729	-0.50006	-0.28675	-0.22263	-0.3768	-0.25279	-0.25433	-0.58398	0.35701	-0.38884	0.061132	0.79882	-0.28878
C26:0	-0.086574	1.8194	-1.0226	-0.16247	-0.27847	-0.4656	-0.74408	0.8125	-1.0766	1.0353	0.49972	-0.88439	1.6682	-0.64107	-0.34072	-0.96999	-0.06752	-0.064304	-0.63383	-0.52056	-0.76864	-0.45043	1.1723	1.9796	-0.20803	-1.2748	2.7914	-0.66139	0.42281
MG(a-21:0/0:0/0:0)[rac]	0.19054	3.589	-0.50677	-0.8909	0.67132	0.027278	-0.59954	0.92305	0.070876	0.9593	-0.52109	-0.11199	4.0522	-0.073595	-1.3525	-0.66497	-0.4954	2.2292	-0.94311	-1.1984	-1.274	0.35479	0.28533	-0.4596	0.41061	-1.6892	2.376	-0.30041	-0.23602
"7,11,12-Triacetoxycoumestan"	-0.61913	-1.431	0.67277	0.26012	0.80835	2.5965	2.2869	0.30562	-0.43251	0.20791	-0.074418	0.42679	0.64433	2.1318	-0.24191	-0.10767	-0.43331	-1.3284	-0.075639	-0.2046	-1.3086	1.9239	0.60238	-0.091708	0.43986	-0.032467	0.2241	2.3275	-0.36019
"{[3,4-dihydroxy-5-(hydroxymethyl)-2-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxa..."	-0.47175	-0.6616	-0.23337	1.1678	0.84577	0.56479	3.2817	-0.40054	1.1619	-0.43459	-0.64625	-0.6507	-0.30698	2.8671	-0.31622	-0.40621	1.5426	-0.60316	-0.34888	-0.25008	-0.66524	0.49017	3.8479	-0.23337	1.2646	-0.607	-0.59093	3.2327	-0.32506
MG(0:0/24:1(15Z)/0:0)	0.032748	4.0791	1.1321	-0.0019459	2.1978	-0.4063	-0.7466	0.32032	-1.4017	0.29782	1.6094	-0.80018	2.8785	0.59011	-0.66456	-0.18188	-0.075935	1.6458	-1.4457	-0.72821	-1.5723	-0.17277	-0.74261	-1.28	-0.83458	-0.019943	0.47321	0.55894	-0.6899
3-cis-Hydroxyglipizide	0.28881	-0.56103	2.4033	-0.13956	0.42364	0.25821	1.3965	0.19731	-0.85476	0.11654	-1.2015	-0.37647	-0.46853	1.4697	-0.20837	-0.95192	0.37126	-0.87277	-0.18922	-0.15411	-0.82977	0.080801	0.58982	-0.54442	0.00079606	-0.44443	0.057715	1.2852	-0.30005
Oxazepam_glucuronide	-0.72195	-0.7275	-0.66565	-0.17791	-0.54286	1.2485	-0.17201	-0.089383	-0.66014	-0.2191	-0.77918	-0.66854	0.034938	0.034318	-0.51965	-0.70984	1.517	0.29995	-0.4977	-0.4462	-0.73863	-0.58887	0.75082	-0.54054	-0.43025	-0.73409	-0.54509	0.17024	-0.44791
Eremopetasitenin_B2	-0.65858	-0.51281	6.5392	-0.13863	0.12812	-0.33599	0.76275	0.022741	-0.88667	0.019091	-0.93302	-0.18992	-0.68008	0.51125	-0.14362	-0.62945	-0.14488	-0.721	-0.15081	-0.086594	-0.50984	-0.1137	0.26979	-0.64432	-0.029982	-0.32504	-0.094287	0.64145	-0.21969
Biotripyrrin-a	0.040635	-0.91588	6.3208	-0.30532	0.0095355	0.04165	0.28071	-0.47988	-0.83485	-0.35806	0.44021	-0.47847	-0.57555	0.2431	-0.22825	-0.75833	0.52123	-0.95866	-0.25422	-0.035333	-0.59977	-0.15812	0.38863	0.64805	-0.071164	-0.69522	-0.58226	0.26738	-0.30597
Melledonal_B	0.32743	-1.1123	-1.1778	-0.37625	-0.53926	0.59182	0.29038	-0.43033	0.60893	-0.61615	-1.009	-0.89729	-0.66597	0.43517	-0.13925	-0.94213	1.9628	-0.49759	-0.04677	-0.10516	-1.0129	0.70473	0.68456	0.2143	-0.094631	-1.0704	-0.37995	0.37038	-0.22834
"erythro-8,10-Hentriacontanediol"	0.73184	-0.19709	-0.33119	-0.33164	-0.35318	0.080627	-0.27913	-0.34912	-0.29885	-0.36825	-0.27251	-0.37593	0.0027737	-0.26424	-0.21154	-0.30402	1.2143	-0.46259	-0.18454	-0.15419	-0.36676	-0.072569	0.070202	0.047111	-0.3371	-0.28691	-0.38045	-0.24679	-0.21115
D-Galactopyranosyl-(1->3)-D-galactopyranosyl-(1->3)-L-arabinose	-0.85503	-0.41856	-0.7244	0.96062	0.73943	-0.0092435	2.4201	-0.38095	-0.68035	-0.48413	-0.9129	-0.62289	-0.55043	2.05	-0.33165	-0.79664	1.3127	-0.595	-0.39194	-0.30514	-0.82778	-0.2101	0.61026	-0.49442	0.7613	-0.73509	-0.57281	2.3186	-0.40403
Temocapril	-1.3358	-0.18879	4.5022	-0.053644	-0.3096	-0.4294	1.2447	-0.37311	-0.80228	-0.43489	-1.393	-0.47825	-1.0564	0.86135	-0.23538	-1.1017	-0.30017	-1.1606	-0.034668	-0.1238	-1.1212	-0.4815	-0.045493	-0.90088	0.38423	-0.73125	-0.45606	0.8041	-0.30321
"4-(6-carboxy-2,3,4-trihydroxyphenoxy)-4'',5,5'',6,6''-pentahydroxy-[1,1''-b..."	-0.37896	-0.97359	4.1552	0.25334	-0.19969	0.22827	0.72871	-0.63083	-0.022468	-0.69642	-0.51525	-0.51831	-0.77801	0.62854	-0.23968	-0.35264	-0.46792	-0.63227	-0.34466	-0.044984	-0.62511	0.20612	1.2393	-0.45483	0.17507	-0.79988	-0.64475	0.72231	-0.30495
